word,V cluster value,tf norm value
útil,1.0,0.0462847202446
ensina,1.0,0.0954523025321
entrará,1.0,0.145883264062
entraram,1.0,0.0953681790859
entrar,1.0,0.587387750844
entrando,1.0,0.0944195945192
entram,1.0,0.160043009381
entrado,1.0,0.154799982016
entrada,1.0,0.705718599806
entra,1.0,0.346768958475
entidades,1.0,0.114010699968
entidade,1.0,0.413451430663
entertainment,1.0,0.644950286811
entendimento,1.0,0.0514990706269
entender,1.0,0.410012696086
entenda,1.0,0.158587172625
ensaiar,1.0,0.0487432682874
entregou,1.0,0.0931950363947
enquete,1.0,0.412593506
enorme,1.0,0.130361130923
ennis,1.0,0.457438880846
enix,1.0,0.353828050187
engraçado,1.0,0.0464960612324
english,1.0,0.128840490088
engine,1.0,0.399722831088
enfrentou,1.0,0.148993205134
enfrentarão,1.0,0.102794578758
enfrentará,1.0,0.133399113438
enfrentaria,1.0,0.087784686332
enfrentaram,1.0,0.0837962446039
enfrentar,1.0,0.558751026314
enfrentando,1.0,0.109629362599
entregar,1.0,0.213585618113
entretanto,1.0,0.508368461911
escolher,1.0,0.0553614165413
equilíbrio,1.0,0.210367277553
escolas,1.0,0.0648302509443
escola,1.0,0.25782310516
esclarecer,1.0,0.143111216817
escape,1.0,0.310062970327
escapar,1.0,0.189946009496
escanteio,1.0,0.392772697009
escala,1.0,0.137025329558
es,1.0,0.120843357752
errou,1.0,0.0713196410871
erros,1.0,0.274834904413
erro,1.0,0.398809483951
errado,1.0,0.0553967090893
erik,1.0,0.382934925184
eric,1.0,0.262824243867
equilibrado,1.0,0.0491910849369
entretenimento,1.0,0.272191837662
episódio,1.0,0.046798013428
ep,1.0,0.139613186299
enxurrada,1.0,0.149964573796
enxergada,1.0,0.124989717261
envolvimento,1.0,0.0718259123974
envolvido,1.0,0.163916320026
envolveu,1.0,0.0588021508938
envolvendo,1.0,0.0901349305234
envolve,1.0,0.402332538261
enviar,1.0,0.0755070588557
envia,1.0,0.0516797996126
entusiasta,1.0,0.098096179833
entrou,1.0,0.574212841332
entrevistas,1.0,0.148012193285
enfrentam,1.0,0.148908930952
enfrentado,1.0,0.082750524431
enfrenta,1.0,0.472049283213
elementos,1.0,0.169376211224
emergente,1.0,0.0604943724526
embora,1.0,0.839051525207
embate,1.0,0.141364280703
embalo,1.0,0.0554224170341
elogiou,1.0,0.0972433276653
elogios,1.0,0.309298226098
elogiar,1.0,0.0908041178936
elogiado,1.0,0.109549597526
eliminar,1.0,0.304578578942
eliminada,1.0,0.0710717559958
elimina,1.0,0.0969023819587
elevado,1.0,0.0399220193959
eletrônicos,1.0,0.139512966878
eletrônico,1.0,0.235120580411
elemento,1.0,0.0809966417187
enfim,1.0,0.065298431246
eleito,1.0,0.152320895711
electronic,1.0,0.604217202679
el,1.0,0.0517578160265
eis,1.0,0.0941765471576
eficiência,1.0,0.076544548035
eficientes,1.0,0.0499447788355
eficiente,1.0,0.0901837448111
effect,1.0,0.0996596197502
efetiva,1.0,0.0559866268251
efeitos,1.0,0.155631616006
efeito,1.0,0.40585045197
efe,1.0,0.302387314116
educação,1.0,0.0549934351556
eduardo,1.0,0.287946333421
emerson,1.0,0.23822612835
emissora,1.0,0.113273615639
emociona,1.0,0.0862420642795
emoções,1.0,0.10133432604
energia,1.0,0.209691043763
encontrou,1.0,0.178992762892
encontro,1.0,0.381804992499
encontrava,1.0,0.0647752874563
encontraram,1.0,0.0566217052284
encontrar,1.0,0.302330610605
encontram,1.0,0.0918329516921
encontrada,1.0,0.0723917101107
encontra,1.0,0.0683846302886
encheu,1.0,0.0484143012609
encerrou,1.0,0.111111111111
encerrar,1.0,0.102108056479
encerrado,1.0,0.118382193495
encarar,1.0,0.192402295547
encara,1.0,0.389380669422
encaixar,1.0,0.0560241625212
encaixam,1.0,0.0718259123974
encaixa,1.0,0.0640038649736
empresas,1.0,0.709464330345
empresa,1.0,1.89752592837
empregos,1.0,0.0556148656014
empregados,1.0,0.089727635149
empolgação,1.0,0.107752060152
empolgado,1.0,0.0713187822608
empecilho,1.0,0.0408680825388
empatou,1.0,0.177640714617
empates,1.0,0.0532025133399
empatar,1.0,0.0484143012609
empata,1.0,0.111773099733
escolha,1.0,0.311091501037
escolheu,1.0,0.0933430233826
edições,1.0,0.112884782045
estupro,1.0,0.0726194030201
evidência,1.0,0.102310618451
everton,1.0,0.247780011124
eventualmente,1.0,0.186829941119
eventos,1.0,0.674720494721
européia,1.0,0.0858607432751
europeus,1.0,0.115836229248
europeia,1.0,0.167393789564
eua,1.0,1.1164157323
etc,1.0,0.175458405622
estúdios,1.0,0.172539984814
estúdio,1.0,1.65571896577
estônia,1.0,0.166819065372
estética,1.0,0.0588237159691
estágio,1.0,0.0805421181924
estufou,1.0,0.0888070388052
evil,1.0,0.448359037209
estufar,1.0,0.0673087173924
estudos,1.0,0.142383410205
estudo,1.0,0.384973520523
estudantes,1.0,0.0280618184523
estrutura,1.0,0.048032600941
estrelas,1.0,0.213781921178
estrela,1.0,0.104519131479
estratégias,1.0,0.158817146505
estratégia,1.0,0.440909383304
estranho,1.0,0.0805776784625
estrangeiros,1.0,0.127461385174
estilo,1.0,0.623311849993
estigma,1.0,0.137951572972
estatísticas,1.0,0.130380417236
evidências,1.0,0.059681107931
evita,1.0,0.0929200061449
escolhido,1.0,0.16854012073
exclusivo,1.0,0.469786851264
existir,1.0,0.109859114399
existentes,1.0,0.0428903850921
existente,1.0,0.0512130095331
existem,1.0,0.405266972791
existe,1.0,0.484443834854
exista,1.0,0.0604943724526
exibição,1.0,0.071719660672
exerceu,1.0,0.0990739133529
exemplos,1.0,0.0816576822543
exemplo,1.0,1.04696330729
executou,1.0,0.0650644346105
executivos,1.0,0.0941885446098
executivo,1.0,1.31299292066
exclusivos,1.0,0.220541721265
exclusividade,1.0,0.289283149924
evitando,1.0,0.120195382661
exclusivamente,1.0,0.12336563063
exclusiva,1.0,0.609400434374
exceção,1.0,0.160396300136
excessivamente,1.0,0.0710262880937
excepcional,1.0,0.0603113626361
excelente,1.0,0.132908231654
exatamente,1.0,0.349551236417
exames,1.0,0.312260633242
exame,1.0,0.129604460044
exaltou,1.0,0.145437353207
exaltar,1.0,0.0592609022244
evolução,1.0,0.171906270102
evoluindo,1.0,0.115588521817
evitar,1.0,0.119318873318
estarão,1.0,0.321120402357
estará,1.0,0.427891784899
estariam,1.0,0.0456721237811
espanhóis,1.0,0.261790930127
específico,1.0,0.0960217670858
específicas,1.0,0.12289393916
específica,1.0,0.0969021187912
especulado,1.0,0.103328643215
especula,1.0,0.0927739753233
espectadores,1.0,0.228193178595
especificamente,1.0,0.0672351137627
especialmente,1.0,0.175735617482
especialistas,1.0,0.215527784732
especialista,1.0,0.214984077301
especial,1.0,0.305349048409
especiais,1.0,0.286966765491
espaços,1.0,0.286002812615
espaço,1.0,0.480470228136
espalmar,1.0,0.0676758418256
estaria,1.0,0.447161758298
espalhando,1.0,0.100586259513
esp,1.0,0.12851253671
eslovênia,1.0,0.166819065372
eslováquia,1.0,0.30094106089
eshop,1.0,0.288012684708
esforços,1.0,0.111583970793
escócia,1.0,0.161574427228
escuta,1.0,0.0990739133529
escritor,1.0,0.0538832080443
escrito,1.0,0.0563563354476
escreveu,1.0,0.157949299698
escondido,1.0,0.141886120125
esconderam,1.0,0.147895857345
esconder,1.0,0.166201622239
específicos,1.0,0.0540598450582
esperado,1.0,0.135282515116
esperam,1.0,0.114082580721
esperamos,1.0,0.127740558395
estarem,1.0,0.0895183371086
estarei,1.0,0.119463850896
estando,1.0,0.196079115655
estande,1.0,0.181701407246
estados,1.0,0.643740913453
estado,1.0,0.0898359252718
estacionado,1.0,0.0821416918754
estabelecido,1.0,0.0800580824156
estabelecidas,1.0,0.0634666735466
estabelecida,1.0,0.0726671601145
estabeleceu,1.0,0.0794240581494
