word,tf norm value
jogo,0.886266825871
ios,0.553118749201
runner,0.446325480807
skyrise,0.446325480807
brasileiro,0.40647163418
disponível,0.333148076669
michael,0.298142397
nocaute,0.298142397
mma,0.298142397
anderson,0.298142397
clone,0.298142397
silva,0.298142397
android,0.239897595845
chega,0.239897595845
dá,0.222394756011
jogos,0.219970672532
brasileiros,0.219970672532
tempo,0.186500961648
personagem,0.186500961648
cenários,0.186500961648
graça,0.166574038335
poker,0.166574038335
missões,0.166574038335
rpg,0.166574038335
google,0.166574038335
play,0.166574038335
puzzle,0.166574038335
traz,0.166574038335
estúdio,0.166574038335
une,0.166574038335
touch,0.166574038335
ipad,0.166574038335
trailer,0.166574038335
desviar,0.166574038335
runners,0.166574038335
ipod,0.166574038335
nome,0.166574038335
iphone,0.166574038335
itens,0.166574038335
segue,0.166574038335
inglês,0.1490711985
terceira,0.1490711985
belo,0.1490711985
terceiro,0.1490711985
disputa,0.1490711985
continua,0.1490711985
superando,0.1490711985
vitória,0.1490711985
perto,0.1490711985
vence,0.1490711985
melhor,0.1490711985
ufc,0.1490711985
surpreender,0.1490711985
direito,0.1490711985
combate,0.1490711985
chegando,0.1490711985
voltou,0.1490711985
seguida,0.1490711985
confira,0.1490711985
show,0.1490711985
robô,0.146647115021
carioca,0.146647115021
appstore,0.093250480824
inspirado,0.093250480824
app,0.093250480824
coletar,0.093250480824
realiza,0.093250480824
específicas,0.093250480824
sugere,0.093250480824
colorido,0.093250480824
chegou,0.093250480824
corre,0.093250480824
vi,0.093250480824
criatura,0.093250480824
gratuitamente,0.093250480824
precisa,0.093250480824
visual,0.093250480824
mineira,0.093250480824
mineiro,0.093250480824
store,0.093250480824
lançaram,0.093250480824
produtora,0.093250480824
controle,0.093250480824
completar,0.0733235575107
tipos,0.0733235575107
diferença,0.0733235575107
night,0.0733235575107
robozinho,0.0733235575107
melhores,0.0733235575107
análise,0.0733235575107
três,0.0733235575107
fórmula,0.0733235575107
baseados,0.0733235575107
qasir,0.0733235575107
al,0.0733235575107
versão,0.0733235575107
disponibilizado,0.0733235575107
toren,0.0733235575107
independente,0.0733235575107
games,0.0733235575107
anda,0.0733235575107
personalizar,0.0733235575107
indie,0.0733235575107
acesso,0.0733235575107
jogador,0.0733235575107
originalmente,0.0733235575107
usmonetáriointerno,0.0733235575107
novos,0.0733235575107
incluindo,0.0733235575107
acaba,0.0733235575107
jogar,0.0733235575107
in,0.0733235575107
monetáriointerno,0.0733235575107
dungeonland,0.0733235575107
recompensa,0.0733235575107
oniken,0.0733235575107
between,0.0733235575107
wasat,0.0733235575107
caminho,0.0733235575107
lançar,0.0733235575107
dão,0.0733235575107
game,0.0733235575107
global,0.0733235575107
obstáculos,0.0733235575107
jam,0.0733235575107
eficiência,0.0
elogiou,0.0
eis,0.0
eletrônicos,0.0
eficientes,0.0
elogios,0.0
elenco,0.0
embate,0.0
elementos,0.0
embalo,0.0
eletrônico,0.0
elevado,0.0
eficiente,0.0
elogiar,0.0
elogiado,0.0
el,0.0
eliminação,0.0
eliminatórias,0.0
electronic,0.0
eliminar,0.0
eleito,0.0
eliminada,0.0
elimina,0.0
elemento,0.0
útil,0.0
effect,0.0
download,0.0
dupla,0.0
duelo,0.0
dudu,0.0
duas,0.0
dualshock,0.0
ds,0.0
drogba,0.0
driblou,0.0
drible,0.0
dreams,0.0
dream,0.0
dragqueen,0.0
draft,0.0
dourada,0.0
durante,0.0
double,0.0
doses,0.0
dortmund,0.0
dores,0.0
donos,0.0
dono,0.0
domínio,0.0
dominância,0.0
dominou,0.0
dominick,0.0
domingo,0.0
dominar,0.0
dominando,0.0
dura,0.0
duras,0.0
efetiva,0.0
edge,0.0
efeitos,0.0
efeito,0.0
efe,0.0
educação,0.0
eduardo,0.0
