word,V cluster 0 value,V cluster 1 value,V cluster 2 value,tf norm value
time,5.3490666498,0.208939169622,1.92855571961e-32,4.59686045592
feira,4.65459896169,7.60631043955e-45,1.08509025054,4.48020712845
jogo,1.69084664201,0.000114616167071,15.1011497435,4.38957008659
equipe,5.19876215793,0.000686774110747,0.00341105021503,4.29628349948
minutos,5.86925247263,2.76376134729e-71,3.969959487e-29,4.28575586041
anos,4.14056433179,5.37180947668e-37,0.015439981415,3.98431219202
jogador,4.15522433393,2.24388653384e-25,0.000371302105999,3.86582870218
gol,5.33363757159,5.57427691117e-123,6.51751170721e-48,3.85918707343
ufc,2.19096609625,2.25028536016e-54,9.35040292728e-21,3.81179311267
brasileiro,3.4972683835,0.0968838616214,0.448544084224,3.80965457051
final,4.17271655114,0.431452665599,1.84951879815e-10,3.67582941182
técnico,3.94282655569,8.1048055353e-113,7.4181951332e-42,3.52244206397
euro,3.31063623643,1.37877612795e-92,4.36377592434e-42,3.4981714608
real,4.77066245151,2.18492678698e-37,6.75588793299e-11,3.48278546656
breno,3.57179712027,4.05400290416e-148,3.22226143595e-51,3.34439260137
partida,4.25770107094,5.06745047407e-06,7.49425986133e-26,3.33632724567
futebol,2.94784151135,7.5677327156e-70,6.50398754181e-38,3.26424112787
campeão,2.77368072204,5.90566149697e-10,1.2600068064e-38,3.13847171673
campeonato,3.43378072393,0.167888666537,2.13786166399e-34,3.10315657868
vitória,3.16074187952,9.20881516454e-62,3.02550769681e-34,3.09937333634
paulo,3.34764499261,0.0592585669471,0.457619615888,3.09565350225
segundo,3.44206600867,0.46139406809,0.351536614439,3.05561036578
clube,3.48087970499,4.23667644844e-99,1.25287748144e-35,2.98580966434
casa,3.44952614184,2.46549458706e-17,4.45016655375e-16,2.98142465925
tempo,3.49876036865,1.3921262168e-25,0.69315037761,2.95216731882
dois,3.24453803467,1.1751441574e-18,1.21533960882,2.90913657548
atacante,3.31635129254,5.26537103488e-114,2.3125906927e-41,2.88981319147
espanha,3.53718166993,4.35087834869e-99,4.17751327198e-37,2.88823467934
bola,3.92353658497,4.54689065844e-122,8.47547829576e-46,2.86081932103
torcedores,2.61738174809,4.07523121335e-77,1.77444412572e-36,2.83342620539
título,2.89142898702,2.48963942796e-23,0.932544139977,2.82727360066
madrid,3.65962586907,2.68800021156e-106,9.32909726904e-44,2.70155363008
gols,3.56922723254,6.98741674643e-108,1.86223446451e-45,2.69286933272
barcelona,3.51303539717,3.23299362209e-96,3.34060789844e-40,2.69085422753
dia,2.21795981289,5.7292142712e-17,2.29158737058,2.62569746668
monetáriointerno,1.95987481846,0.0592529201784,1.74797450518,2.58636431563
seleção,2.57307999343,2.31105264176e-69,3.03199110331e-27,2.49519973222
temporada,2.7362703805,0.327528519457,1.93176910888e-37,2.44445349567
ano,1.9290952519,0.161329017614,1.76833171243,2.42246539235
vai,2.36808818567,2.64040585864e-60,0.25213415539,2.39024864488
espanhol,3.04059979765,1.87098170712e-36,3.08980258142e-42,2.36236399077
liga,2.63556441956,1.11628329939e-37,2.00010015169e-27,2.34549247314
